0,1,2,3,4
1,125,2169,-2044,None
2,148,2149,-2001,None
3,134,2201,-2067,None
4,140,2179,-2039,None
5,135,2187,-2052,None
6,136,2211,-2075,None
7,138,2169,-2031,None
8,141,2193,-2052,None
9,128,2203,-2075,None
10,120,2185,-2065,None
11,115,2157,-2042,None
12,131,2189,-2058,None
13,129,2175,-2046,None
14,129,2181,-2052,None
15,132,2153,-2021,None
16,124,2163,-2039,None
17,129,2143,-2014,None
18,120,2199,-2079,None
19,121,2191,-2070,None
20,123,2187,-2064,None
21,137,2213,-2076,None
22,130,2189,-2059,None
23,148,2167,-2019,None
24,143,2193,-2050,None
25,117,2195,-2078,None
26,134,2209,-2075,None
27,124,2207,-2083,None
28,138,2187,-2049,None
29,137,2189,-2052,None
30,134,2183,-2049,None
31,120,2181,-2061,None
32,116,2219,-2103,None
33,135,2205,-2070,None
34,132,2215,-2083,None
35,141,2219,-2078,None
36,144,2191,-2047,None
37,132,2205,-2073,None
38,141,2211,-2070,None
39,160,2199,-2039,None
40,137,2187,-2050,None
41,128,2227,-2099,None
42,123,2221,-2098,None
43,134,2191,-2057,None
44,125,2199,-2074,None
45,121,2203,-2082,None
46,118,2183,-2065,None
47,122,2197,-2075,None
48,117,2195,-2078,None
49,114,2185,-2071,None
50,119,2207,-2088,None
51,113,2187,-2074,None
52,117,2193,-2076,None
53,122,2219,-2097,None
54,132,2195,-2063,None
55,119,2185,-2066,None
56,125,2209,-2084,None
57,119,2225,-2106,None
58,101,2157,-2056,None
59,106,2179,-2073,None
60,117,2201,-2084,None
61,99,2193,-2094,None
62,132,2189,-2057,None
63,114,2187,-2073,None
64,104,2209,-2105,None
65,126,2211,-2085,None
66,132,2189,-2057,None
67,114,2205,-2091,None
68,123,2217,-2094,None
69,102,2199,-2097,None
70,111,2199,-2088,None
71,106,2219,-2113,None
72,117,2227,-2110,None
73,106,2181,-2075,None
74,120,2211,-2091,None
75,108,2237,-2129,None
76,107,2203,-2096,None
77,110,2221,-2111,None
78,122,2237,-2115,None
79,97,2207,-2110,None
80,105,2177,-2072,None
81,113,2179,-2066,None
82,93,2175,-2082,None
83,84,2175,-2091,None
84,84,2147,-2063,None
85,89,2189,-2100,None
86,90,2145,-2055,None
87,82,2197,-2115,None
88,79,2171,-2092,None
89,71,2135,-2064,None
90,97,2155,-2058,None
91,72,2127,-2055,None
92,75,2175,-2100,None
93,74,2079,-2005,None
94,65,2145,-2080,None
95,82,2109,-2027,None
96,90,2125,-2035,None
97,89,2163,-2074,None
98,82,2183,-2101,None
99,87,2167,-2080,None
100,88,2209,-2121,None
101,88,2203,-2115,None
102,82,2201,-2119,None
103,89,2199,-2110,None
104,98,2201,-2103,None
105,102,2215,-2113,None
106,107,2225,-2118,None
107,110,2185,-2075,None
108,79,2195,-2116,None
109,103,2183,-2080,None
110,100,2207,-2107,None
111,97,2177,-2080,None
112,80,2191,-2111,None
113,75,2191,-2116,None
114,107,2205,-2098,None
115,119,2195,-2076,None
116,88,2211,-2123,None
117,106,2185,-2079,None
118,111,2203,-2092,None
119,89,2185,-2096,None
120,85,2185,-2100,None
121,83,2185,-2102,None
122,80,2207,-2127,None
123,100,2197,-2097,None
124,97,2221,-2124,None
125,95,2199,-2104,None
126,124,2187,-2063,None
127,102,2187,-2085,None
128,109,2223,-2114,None
129,63,2223,-2160,None
130,87,2231,-2144,None
131,94,2213,-2119,None
132,86,2215,-2129,None
133,67,2197,-2130,None
134,70,2211,-2141,None
135,70,2223,-2153,None
136,88,2191,-2103,None
137,80,2233,-2153,None
138,73,2231,-2158,None
139,66,2213,-2147,None
140,69,2235,-2166,None
141,72,2221,-2149,None
142,62,2233,-2171,None
143,58,2231,-2173,None
144,57,2193,-2136,None
145,48,2215,-2167,None
146,68,2171,-2103,None
147,71,2221,-2150,None
148,59,2193,-2134,None
149,69,2199,-2130,None
150,78,2171,-2093,None
151,63,2169,-2106,None
152,74,2141,-2067,None
153,56,2161,-2105,None
154,63,2153,-2090,None
155,62,2171,-2109,None
156,62,2149,-2087,None
157,63,2183,-2120,None
158,69,2187,-2118,None
159,67,2183,-2116,None
160,64,2191,-2127,None
161,53,2133,-2080,None
162,65,2107,-2042,None
163,54,2109,-2055,None
164,63,2153,-2090,None
165,58,2185,-2127,None
166,66,2131,-2065,None
167,68,2125,-2057,None
168,55,2179,-2124,None
169,53,2145,-2092,None
170,58,2125,-2067,None
171,59,2089,-2030,None
172,69,2145,-2076,None
173,47,2161,-2114,None
174,65,2163,-2098,None
175,51,2131,-2080,None
176,64,2125,-2061,None
177,67,2111,-2044,None
178,54,2107,-2053,None
179,46,2089,-2043,None
180,67,2083,-2016,None
181,53,2091,-2038,None
182,70,2093,-2023,None
183,55,2095,-2040,None
184,68,2005,-1937,None
185,69,2037,-1968,None
186,56,2119,-2063,None
187,77,2057,-1980,None
188,63,2077,-2014,None
189,66,2113,-2047,None
190,62,2047,-1985,None
191,73,2119,-2046,None
192,54,2125,-2071,None
193,70,2111,-2041,None
194,68,2079,-2011,None
195,54,2113,-2059,None
196,42,2137,-2095,None
197,73,2113,-2040,None
198,76,2063,-1987,None
199,74,2131,-2057,None
200,67,2177,-2110,None
