0,1,2,3,4
1,130,2043,130,None
2,142,2043,142,None
3,132,2003,132,None
4,133,2039,133,None
5,130,2033,130,None
6,143,1985,143,None
7,133,2007,133,None
8,151,2029,151,None
9,130,2027,130,None
10,121,2031,121,None
11,143,2025,143,None
12,140,2023,140,None
13,136,2091,136,None
14,137,2017,137,None
15,144,2019,144,None
16,139,2043,139,None
17,147,2071,147,None
18,139,2053,139,None
19,123,2087,123,None
20,128,2021,128,None
21,153,2017,153,None
22,153,2053,153,None
23,130,2025,130,None
24,117,2069,117,None
25,160,2053,160,None
26,135,2013,135,None
27,129,2049,129,None
28,140,2059,140,None
29,126,2061,126,None
30,148,2043,148,None
31,135,2029,135,None
32,141,2023,141,None
33,134,2023,134,None
34,128,2073,128,None
35,127,2043,127,None
36,129,2037,129,None
37,119,2023,119,None
38,118,2053,118,None
39,144,2059,144,None
40,184,2053,184,None
41,129,2039,129,None
42,121,2041,121,None
43,138,2053,138,None
44,156,2047,156,None
45,131,2051,131,None
46,138,2043,138,None
47,134,2045,134,None
48,131,2053,131,None
49,157,2037,157,None
50,157,2049,157,None
51,134,2049,134,None
52,126,2051,126,None
53,110,2025,110,None
54,133,2019,133,None
55,153,2057,153,None
56,136,2049,136,None
57,164,2053,164,None
58,121,2025,121,None
59,157,2037,157,None
60,155,2041,155,None
61,173,2037,173,None
62,179,2041,179,None
63,154,2057,154,None
64,160,2045,160,None
65,131,2043,131,None
66,136,2057,136,None
67,134,2059,134,None
68,164,2043,164,None
69,130,2037,130,None
70,121,2063,121,None
71,161,2045,161,None
72,142,2051,142,None
73,158,2033,158,None
74,145,2055,145,None
75,130,2043,130,None
76,156,2049,156,None
77,141,2015,141,None
78,137,2033,137,None
79,114,2035,114,None
80,138,2033,138,None
81,147,2045,147,None
82,132,2043,132,None
83,133,2037,133,None
84,167,2041,167,None
85,148,2041,148,None
86,148,2041,148,None
87,140,2051,140,None
88,133,2043,133,None
89,176,2049,176,None
90,142,2035,142,None
91,168,2053,168,None
92,151,2045,151,None
93,130,2051,130,None
94,168,2053,168,None
95,157,2071,157,None
96,149,2071,149,None
97,134,2035,134,None
98,142,2061,142,None
99,155,2073,155,None
100,166,2063,166,None
101,140,2055,140,None
102,166,2067,166,None
103,155,2061,155,None
104,177,2053,177,None
105,168,2065,168,None
106,145,2057,145,None
107,154,2057,154,None
108,154,2055,154,None
109,162,2051,162,None
110,145,2063,145,None
111,129,2077,129,None
112,163,2061,163,None
113,139,2061,139,None
114,154,2081,154,None
115,151,2069,151,None
116,149,2075,149,None
117,142,2079,142,None
118,142,2073,142,None
119,146,2049,146,None
120,131,2065,131,None
121,127,2067,127,None
122,126,2047,126,None
123,152,2067,152,None
124,146,2069,146,None
125,145,2047,145,None
126,128,2059,128,None
127,148,2047,148,None
128,139,2067,139,None
129,155,2053,155,None
130,131,2055,131,None
131,127,2063,127,None
132,145,2067,145,None
133,134,2075,134,None
134,124,2071,124,None
135,129,2063,129,None
136,119,2057,119,None
137,127,2059,127,None
138,131,2065,131,None
139,146,2051,146,None
140,150,2055,150,None
141,135,2067,135,None
142,142,2091,142,None
143,152,2081,152,None
144,128,2083,128,None
145,155,2069,155,None
146,155,2071,155,None
147,132,2093,132,None
148,145,2081,145,None
149,152,2081,152,None
150,150,2091,150,None
151,155,2065,155,None
152,153,2063,153,None
153,161,2057,161,None
154,171,2055,171,None
155,153,2063,153,None
156,163,2069,163,None
157,120,2107,120,None
158,157,2079,157,None
159,159,2087,159,None
160,146,2085,146,None
161,152,2073,152,None
162,147,2079,147,None
163,141,2095,141,None
164,150,2065,150,None
165,147,2095,147,None
166,154,2073,154,None
167,160,2091,160,None
168,145,2079,145,None
169,174,2059,174,None
170,154,2063,154,None
171,161,2079,161,None
172,162,2059,162,None
173,175,2043,175,None
174,158,2069,158,None
175,163,2055,163,None
176,146,2057,146,None
177,168,2073,168,None
178,164,2063,164,None
179,154,2059,154,None
180,167,2059,167,None
181,157,2065,157,None
182,170,2069,170,None
183,155,2073,155,None
184,140,2073,140,None
185,149,2077,149,None
186,149,2059,149,None
187,155,2071,155,None
188,166,2071,166,None
189,174,2067,174,None
190,168,2083,168,None
191,142,2091,142,None
192,153,2081,153,None
193,190,2063,190,None
194,168,2067,168,None
195,172,2067,172,None
196,161,2067,161,None
197,152,2075,152,None
198,152,2097,152,None
199,168,2075,168,None
200,180,2077,180,None
201,151,2073,151,None
202,156,2085,156,None
203,147,2101,147,None
204,156,2091,156,None
205,149,2077,149,None
206,159,2087,159,None
207,138,2079,138,None
208,144,2099,144,None
209,156,2069,156,None
210,157,2063,157,None
211,155,2075,155,None
212,160,2071,160,None
213,163,2083,163,None
214,163,2097,163,None
215,154,2071,154,None
216,159,2087,159,None
217,145,2107,145,None
218,174,2077,174,None
219,171,2083,171,None
220,167,2075,167,None
221,177,2081,177,None
222,166,2079,166,None
223,154,2091,154,None
224,176,2063,176,None
225,179,2065,179,None
226,165,2081,165,None
227,156,2093,156,None
228,169,2087,169,None
229,163,2079,163,None
230,173,2053,173,None
231,171,2095,171,None
232,167,2079,167,None
233,172,2079,172,None
234,181,2073,181,None
235,186,2063,186,None
236,163,2077,163,None
237,182,2083,182,None
238,190,2073,190,None
239,202,2073,202,None
240,198,2059,198,None
241,177,2065,177,None
242,187,2083,187,None
243,179,2065,179,None
244,184,2085,184,None
245,180,2075,180,None
246,186,2065,186,None
247,196,2067,196,None
248,168,2067,168,None
249,190,2071,190,None
250,174,2063,174,None
251,162,2073,162,None
252,169,2067,169,None
253,183,2089,183,None
254,193,2063,193,None
255,187,2055,187,None
256,202,2053,202,None
257,200,2025,200,None
258,181,2051,181,None
259,195,2033,195,None
260,174,2069,174,None
261,188,1995,188,None
262,188,2019,188,None
263,171,1971,171,None
264,177,2019,177,None
265,180,2001,180,None
266,204,1979,204,None
267,196,2023,196,None
268,181,2019,181,None
269,165,1993,165,None
270,197,1995,197,None
271,209,2001,209,None
272,184,1927,184,None
273,179,1903,179,None
274,217,1905,217,None
275,161,1903,161,None
276,185,1901,185,None
277,174,1945,174,None
278,188,1945,188,None
279,187,1923,187,None
280,161,1905,161,None
281,182,1859,182,None
282,170,1939,170,None
283,173,1895,173,None
284,153,1897,153,None
285,169,1945,169,None
286,169,1927,169,None
287,171,1919,171,None
288,185,1943,185,None
289,167,1959,167,None
290,186,1907,186,None
291,169,1925,169,None
292,165,1903,165,None
293,186,1949,186,None
294,192,1945,192,None
295,182,1933,182,None
296,177,1969,177,None
297,209,1957,209,None
298,201,1969,201,None
299,183,1997,183,None
300,198,1953,198,None
301,181,1995,181,None
302,173,1997,173,None
303,182,1983,182,None
304,203,1969,203,None
305,186,1963,186,None
306,189,1979,189,None
307,196,1981,196,None
308,192,1991,192,None
309,186,1995,186,None
310,208,2005,208,None
311,218,1981,218,None
312,187,1959,187,None
313,203,1921,203,None
314,198,1921,198,None
315,213,1959,213,None
316,211,1971,211,None
317,202,1957,202,None
318,194,1943,194,None
319,197,1965,197,None
320,184,1953,184,None
321,194,1959,194,None
322,199,1943,199,None
323,194,1961,194,None
324,187,1953,187,None
325,205,1953,205,None
326,203,1927,203,None
327,169,1991,169,None
328,195,1951,195,None
329,191,1953,191,None
330,178,1951,178,None
331,182,1961,182,None
332,195,1921,195,None
333,188,1935,188,None
334,187,1921,187,None
335,199,1917,199,None
336,207,1891,207,None
337,198,1881,198,None
338,192,1887,192,None
339,192,1881,192,None
340,171,1873,171,None
341,163,1893,163,None
342,184,1855,184,None
343,189,1909,189,None
344,196,1869,196,None
345,189,1891,189,None
346,181,1889,181,None
347,189,1879,189,None
348,195,1809,195,None
