0,1,2,3,4
1,153,2165,-2012,None
2,134,2195,-2061,None
3,136,2165,-2029,None
4,128,2187,-2059,None
5,141,2207,-2066,None
6,119,2195,-2076,None
7,107,2205,-2098,None
8,112,2185,-2073,None
9,141,2199,-2058,None
10,133,2209,-2076,None
11,109,2195,-2086,None
12,118,2241,-2123,None
13,109,2183,-2074,None
14,110,2161,-2051,None
15,111,2195,-2084,None
16,105,2159,-2054,None
17,107,2207,-2100,None
18,108,2175,-2067,None
19,94,2103,-2009,None
20,125,2117,-1992,None
21,93,2123,-2030,None
22,106,2139,-2033,None
23,93,2107,-2014,None
24,86,2081,-1995,None
25,112,2095,-1983,None
26,96,2089,-1993,None
27,98,2063,-1965,None
28,95,2069,-1974,None
29,106,2059,-1953,None
30,101,2049,-1948,None
31,103,2029,-1926,None
32,118,2029,-1911,None
33,97,2115,-2018,None
34,119,2071,-1952,None
35,90,2103,-2013,None
36,99,2117,-2018,None
37,87,2227,-2140,None
38,103,2153,-2050,None
39,109,2189,-2080,None
40,108,2161,-2053,None
41,83,2227,-2144,None
42,102,2171,-2069,None
43,90,2163,-2073,None
44,91,2169,-2078,None
45,97,2219,-2122,None
46,89,2233,-2144,None
47,100,2237,-2137,None
48,105,2219,-2114,None
49,109,2223,-2114,None
50,111,2221,-2110,None
51,124,2221,-2097,None
52,130,2193,-2063,None
53,98,2229,-2131,None
54,111,2219,-2108,None
55,84,2191,-2107,None
56,92,2151,-2059,None
57,79,2221,-2142,None
58,86,2127,-2041,None
59,85,2251,-2166,None
60,90,2171,-2081,None
61,91,2173,-2082,None
62,78,2219,-2141,None
63,90,2205,-2115,None
64,86,2207,-2121,None
65,81,2229,-2148,None
66,102,2199,-2097,None
67,68,2223,-2155,None
68,66,2247,-2181,None
69,65,2223,-2158,None
70,76,2231,-2155,None
71,91,2163,-2072,None
72,79,2209,-2130,None
73,73,2179,-2106,None
74,72,2169,-2097,None
75,88,2139,-2051,None
76,61,2199,-2138,None
77,71,2201,-2130,None
78,59,2217,-2158,None
79,65,2189,-2124,None
80,94,2193,-2099,None
81,79,2153,-2074,None
82,74,2161,-2087,None
83,80,2177,-2097,None
84,99,2107,-2008,None
85,88,2121,-2033,None
86,81,2165,-2084,None
87,77,2109,-2032,None
88,73,2149,-2076,None
89,89,2161,-2072,None
90,75,2119,-2044,None
91,93,2157,-2064,None
92,85,2149,-2064,None
93,77,2245,-2168,None
94,75,2143,-2068,None
95,92,2179,-2087,None
96,67,2211,-2144,None
97,78,2149,-2071,None
98,62,2135,-2073,None
99,68,2149,-2081,None
100,66,2165,-2099,None
101,64,2171,-2107,None
102,75,2099,-2024,None
103,49,2229,-2180,None
104,65,2213,-2148,None
105,71,2213,-2142,None
106,66,2181,-2115,None
107,53,2203,-2150,None
108,48,2233,-2185,None
109,56,2207,-2151,None
110,69,2177,-2108,None
111,61,2317,-2256,None
112,70,2189,-2119,None
113,57,2211,-2154,None
114,66,2251,-2185,None
115,54,2287,-2233,None
116,79,2283,-2204,None
117,81,2269,-2188,None
118,59,2283,-2224,None
119,76,2313,-2237,None
120,63,2309,-2246,None
121,74,2255,-2181,None
122,71,2293,-2222,None
123,74,2283,-2209,None
124,70,2307,-2237,None
125,54,2305,-2251,None
126,53,2315,-2262,None
127,69,2321,-2252,None
128,74,2289,-2215,None
129,68,2307,-2239,None
130,63,2307,-2244,None
131,72,2297,-2225,None
132,70,2309,-2239,None
133,66,2307,-2241,None
134,66,2291,-2225,None
135,76,2273,-2197,None
136,75,2291,-2216,None
137,93,2289,-2196,None
138,77,2279,-2202,None
139,66,2331,-2265,None
140,71,2287,-2216,None
141,75,2295,-2220,None
142,109,2267,-2158,None
143,123,2231,-2108,None
144,96,2281,-2185,None
145,109,2259,-2150,None
146,112,2259,-2147,None
147,121,2229,-2108,None
148,93,2263,-2170,None
149,95,2265,-2170,None
150,117,2271,-2154,None
151,101,2275,-2174,None
152,109,2225,-2116,None
153,103,2247,-2144,None
154,117,2217,-2100,None
155,124,2221,-2097,None
156,127,2209,-2082,None
157,104,2263,-2159,None
158,96,2219,-2123,None
159,117,2225,-2108,None
160,105,2279,-2174,None
161,133,2249,-2116,None
162,123,2241,-2118,None
163,113,2259,-2146,None
164,118,2251,-2133,None
165,129,2229,-2100,None
166,123,2215,-2092,None
167,123,2235,-2112,None
