0,1,2,3,4
246,102,1839,-1737,None
247,115,1807,-1692,None
248,89,1859,-1770,None
249,106,1797,-1691,None
250,113,1861,-1748,None
251,90,1875,-1785,None
252,110,1821,-1711,None
253,112,1845,-1733,None
254,114,1849,-1735,None
255,111,1881,-1770,None
256,121,1855,-1734,None
257,115,1857,-1742,None
258,109,1871,-1762,None
259,118,1815,-1697,None
260,106,1831,-1725,None
261,108,1847,-1739,None
262,115,1851,-1736,None
263,111,1843,-1732,None
264,110,1817,-1707,None
265,120,1849,-1729,None
266,130,1837,-1707,None
267,118,1853,-1735,None
268,119,1869,-1750,None
269,131,1855,-1724,None
270,103,1847,-1744,None
271,121,1841,-1720,None
272,112,1883,-1771,None
273,124,1857,-1733,None
274,110,1853,-1743,None
275,120,1813,-1693,None
276,110,1857,-1747,None
277,108,1855,-1747,None
278,116,1805,-1689,None
279,108,1853,-1745,None
280,103,1851,-1748,None
281,116,1831,-1715,None
282,93,1853,-1760,None
283,105,1831,-1726,None
284,125,1821,-1696,None
285,116,1805,-1689,None
286,127,1839,-1712,None
287,103,1841,-1738,None
288,105,1851,-1746,None
289,123,1843,-1720,None
290,117,1819,-1702,None
291,122,1849,-1727,None
292,104,1835,-1731,None
293,109,1827,-1718,None
294,107,1847,-1740,None
295,101,1859,-1758,None
296,114,1839,-1725,None
297,112,1831,-1719,None
298,105,1821,-1716,None
299,103,1843,-1740,None
300,119,1815,-1696,None
301,114,1777,-1663,None
302,107,1831,-1724,None
303,116,1797,-1681,None
304,117,1795,-1678,None
305,104,1825,-1721,None
306,124,1817,-1693,None
307,108,1829,-1721,None
308,111,1793,-1682,None
309,108,1839,-1731,None
310,116,1845,-1729,None
311,105,1819,-1714,None
312,111,1821,-1710,None
313,107,1827,-1720,None
314,100,1819,-1719,None
315,115,1805,-1690,None
316,112,1797,-1685,None
317,106,1841,-1735,None
318,115,1807,-1692,None
319,99,1807,-1708,None
320,113,1817,-1704,None
321,130,1801,-1671,None
322,105,1857,-1752,None
323,109,1833,-1724,None
324,99,1817,-1718,None
325,116,1793,-1677,None
326,130,1809,-1679,None
327,121,1811,-1690,None
328,109,1839,-1730,None
329,114,1789,-1675,None
330,116,1821,-1705,None
331,110,1835,-1725,None
332,110,1829,-1719,None
333,98,1867,-1769,None
334,108,1819,-1711,None
335,117,1785,-1668,None
336,113,1799,-1686,None
337,107,1823,-1716,None
338,112,1819,-1707,None
339,117,1809,-1692,None
340,112,1829,-1717,None
341,110,1779,-1669,None
342,96,1837,-1741,None
343,116,1807,-1691,None
344,113,1807,-1694,None
345,114,1823,-1709,None
346,122,1811,-1689,None
347,127,1787,-1660,None
348,120,1839,-1719,None
349,110,1833,-1723,None
350,131,1825,-1694,None
351,109,1819,-1710,None
352,113,1821,-1708,None
353,106,1833,-1727,None
354,115,1815,-1700,None
355,101,1819,-1718,None
356,124,1827,-1703,None
357,113,1811,-1698,None
358,113,1799,-1686,None
359,129,1765,-1636,None
360,123,1815,-1692,None
361,123,1765,-1642,None
362,111,1811,-1700,None
363,128,1765,-1637,None
364,116,1819,-1703,None
365,133,1791,-1658,None
366,104,1841,-1737,None
