0,1,2,3,4
1,142,2055,-1913,None
2,145,2025,-1880,None
3,142,2071,-1929,None
4,142,2073,-1931,None
5,149,2005,-1856,None
6,150,2003,-1853,None
7,146,1995,-1849,None
8,159,1963,-1804,None
9,143,1999,-1856,None
10,157,2007,-1850,None
11,152,2049,-1897,None
12,156,2059,-1903,None
13,149,2053,-1904,None
14,143,2045,-1902,None
15,146,2059,-1913,None
16,139,2047,-1908,None
17,147,2057,-1910,None
18,133,2037,-1904,None
19,136,2055,-1919,None
20,145,2061,-1916,None
21,138,2071,-1933,None
22,136,2069,-1933,None
23,131,2063,-1932,None
24,140,2047,-1907,None
25,140,2051,-1911,None
26,137,2035,-1898,None
27,119,2055,-1936,None
28,123,2061,-1938,None
29,135,2037,-1902,None
30,124,2039,-1915,None
31,108,2045,-1937,None
32,110,2031,-1921,None
33,125,2047,-1922,None
34,120,2067,-1947,None
35,105,2049,-1944,None
36,92,2051,-1959,None
37,102,2027,-1925,None
38,116,2039,-1923,None
39,100,2031,-1931,None
40,104,2031,-1927,None
41,100,2051,-1951,None
42,107,2047,-1940,None
43,101,2041,-1940,None
44,97,2055,-1958,None
45,81,2057,-1976,None
46,89,2027,-1938,None
47,95,2045,-1950,None
48,86,2025,-1939,None
49,106,2043,-1937,None
50,84,2063,-1979,None
51,95,1969,-1874,None
52,87,1995,-1908,None
53,96,1955,-1859,None
54,78,1949,-1871,None
55,92,1969,-1877,None
56,104,2001,-1897,None
57,96,1879,-1783,None
58,114,1873,-1759,None
59,85,1999,-1914,None
60,95,1941,-1846,None
61,85,1959,-1874,None
62,97,1895,-1798,None
63,98,1921,-1823,None
64,102,1941,-1839,None
65,92,1963,-1871,None
66,96,1967,-1871,None
67,82,1961,-1879,None
68,86,1973,-1887,None
69,96,1973,-1877,None
70,83,2037,-1954,None
71,76,1983,-1907,None
72,82,1963,-1881,None
73,91,1997,-1906,None
74,81,2021,-1940,None
75,89,2067,-1978,None
76,98,2029,-1931,None
77,79,2017,-1938,None
78,101,1981,-1880,None
79,87,1967,-1880,None
80,98,1981,-1883,None
81,87,1997,-1910,None
82,87,2067,-1980,None
83,96,1975,-1879,None
84,119,2015,-1896,None
85,99,2033,-1934,None
86,77,2041,-1964,None
87,92,2023,-1931,None
88,94,2039,-1945,None
89,113,2049,-1936,None
90,102,2087,-1985,None
91,118,2079,-1961,None
92,100,2067,-1967,None
93,95,2029,-1934,None
94,88,2071,-1983,None
95,88,2001,-1913,None
96,93,2047,-1954,None
97,77,2037,-1960,None
98,94,1997,-1903,None
99,95,2013,-1918,None
100,85,2013,-1928,None
101,81,1973,-1892,None
102,109,1967,-1858,None
103,97,2081,-1984,None
104,80,2061,-1981,None
105,93,1983,-1890,None
106,96,1995,-1899,None
107,85,2025,-1940,None
108,107,1993,-1886,None
109,85,2013,-1928,None
110,104,1961,-1857,None
111,97,1907,-1810,None
112,105,2009,-1904,None
113,97,1933,-1836,None
114,99,1961,-1862,None
115,97,1995,-1898,None
116,98,2035,-1937,None
