0,1,2,3,4
1,146,2065,-1919,None
2,149,2049,-1900,None
3,119,2067,-1948,None
4,128,2057,-1929,None
5,96,2077,-1981,None
6,135,1989,-1854,None
7,121,2027,-1906,None
8,97,2023,-1926,None
9,114,2019,-1905,None
10,99,1995,-1896,None
11,113,2001,-1888,None
12,107,1987,-1880,None
13,113,2013,-1900,None
14,114,2001,-1887,None
15,96,1991,-1895,None
16,101,1969,-1868,None
17,100,1979,-1879,None
18,116,1935,-1819,None
19,103,2003,-1900,None
20,109,2037,-1928,None
21,112,2081,-1969,None
22,95,2081,-1986,None
23,108,2053,-1945,None
24,129,2015,-1886,None
25,110,2043,-1933,None
26,115,2057,-1942,None
27,136,2085,-1949,None
28,122,2059,-1937,None
29,142,2049,-1907,None
30,116,2071,-1955,None
31,115,2097,-1982,None
32,135,2073,-1938,None
33,133,2065,-1932,None
34,131,2041,-1910,None
35,140,2085,-1945,None
36,124,2055,-1931,None
37,125,2081,-1956,None
38,118,2029,-1911,None
39,109,2103,-1994,None
40,116,2037,-1921,None
41,143,2061,-1918,None
42,108,2065,-1957,None
43,127,2065,-1938,None
44,119,2089,-1970,None
45,149,2079,-1930,None
46,146,2089,-1943,None
47,133,2055,-1922,None
48,143,2053,-1910,None
49,114,2067,-1953,None
50,128,2103,-1975,None
51,142,2095,-1953,None
52,135,2087,-1952,None
53,122,2083,-1961,None
54,129,2065,-1936,None
55,136,2079,-1943,None
56,137,2065,-1928,None
57,141,2069,-1928,None
58,119,2115,-1996,None
59,145,2059,-1914,None
60,121,2111,-1990,None
61,147,2073,-1926,None
62,141,2087,-1946,None
63,148,2101,-1953,None
64,151,2065,-1914,None
65,157,2071,-1914,None
66,136,2087,-1951,None
67,173,2063,-1890,None
68,149,2085,-1936,None
69,147,2075,-1928,None
70,159,2073,-1914,None
71,171,2063,-1892,None
72,137,2061,-1924,None
73,179,2081,-1902,None
74,164,2083,-1919,None
75,158,2065,-1907,None
76,146,2073,-1927,None
77,176,2085,-1909,None
78,149,2083,-1934,None
79,144,2061,-1917,None
80,158,2091,-1933,None
81,185,2071,-1886,None
82,186,2051,-1865,None
83,167,2077,-1910,None
84,151,2097,-1946,None
85,166,2083,-1917,None
86,183,2069,-1886,None
87,156,2075,-1919,None
88,152,2091,-1939,None
89,156,2077,-1921,None
90,166,2061,-1895,None
91,156,2079,-1923,None
92,174,2073,-1899,None
93,158,2091,-1933,None
94,160,2073,-1913,None
95,176,2045,-1869,None
96,154,2083,-1929,None
97,172,2091,-1919,None
98,157,2103,-1946,None
99,172,2085,-1913,None
100,154,2091,-1937,None
101,139,2085,-1946,None
102,151,2087,-1936,None
103,139,2091,-1952,None
104,156,2073,-1917,None
105,154,2095,-1941,None
106,152,2057,-1905,None
107,152,2083,-1931,None
108,155,2087,-1932,None
109,164,2069,-1905,None
110,157,2069,-1912,None
111,160,2039,-1879,None
112,157,2027,-1870,None
113,152,2075,-1923,None
114,170,2049,-1879,None
115,149,2083,-1934,None
116,147,2071,-1924,None
117,158,2051,-1893,None
118,151,2089,-1938,None
119,152,2061,-1909,None
120,159,2075,-1916,None
121,149,2051,-1902,None
122,158,2075,-1917,None
123,164,2067,-1903,None
124,139,2081,-1942,None
125,166,2085,-1919,None
126,160,2081,-1921,None
127,152,2077,-1925,None
128,136,2077,-1941,None
129,139,2071,-1932,None
130,155,2079,-1924,None
131,170,2051,-1881,None
132,146,2041,-1895,None
133,140,2073,-1933,None
134,138,2073,-1935,None
135,151,2071,-1920,None
136,165,2095,-1930,None
137,157,2053,-1896,None
138,147,2007,-1860,None
139,164,2057,-1893,None
140,144,1989,-1845,None
141,171,2047,-1876,None
142,157,2057,-1900,None
143,153,2059,-1906,None
144,163,2065,-1902,None
145,140,2071,-1931,None
146,171,2055,-1884,None
147,158,2017,-1859,None
148,180,2095,-1915,None
149,166,1993,-1827,None
150,147,2073,-1926,None
151,170,2075,-1905,None
152,144,2015,-1871,None
153,153,2063,-1910,None
154,154,2037,-1883,None
155,152,2063,-1911,None
156,146,2065,-1919,None
157,162,2059,-1897,None
158,150,2053,-1903,None
159,167,2059,-1892,None
160,161,2057,-1896,None
161,148,2061,-1913,None
162,161,2071,-1910,None
163,162,2059,-1897,None
164,161,2083,-1922,None
165,148,2055,-1907,None
166,158,2071,-1913,None
167,157,2019,-1862,None
168,156,2025,-1869,None
169,129,2047,-1918,None
170,147,2031,-1884,None
171,151,2027,-1876,None
172,154,2023,-1869,None
173,143,2047,-1904,None
174,155,2023,-1868,None
175,153,2033,-1880,None
176,143,2051,-1908,None
177,143,2071,-1928,None
178,132,2053,-1921,None
179,160,2059,-1899,None
180,157,2077,-1920,None
181,165,2007,-1842,None
182,161,2061,-1900,None
183,160,2045,-1885,None
184,162,2079,-1917,None
185,156,2079,-1923,None
186,160,1985,-1825,None
187,162,2053,-1891,None
188,150,2041,-1891,None
189,126,2067,-1941,None
190,148,2027,-1879,None
191,135,2041,-1906,None
192,143,2047,-1904,None
193,155,2019,-1864,None
194,148,2057,-1909,None
195,160,2047,-1887,None
196,156,2001,-1845,None
197,144,2039,-1895,None
198,179,2047,-1868,None
199,152,2017,-1865,None
200,143,2039,-1896,None
201,131,2075,-1944,None
202,158,2077,-1919,None
203,140,2055,-1915,None
204,139,2047,-1908,None
205,150,2031,-1881,None
206,163,2041,-1878,None
207,147,2051,-1904,None
208,155,2029,-1874,None
209,133,2037,-1904,None
210,162,2063,-1901,None
211,149,2033,-1884,None
212,127,2059,-1932,None
213,157,2025,-1868,None
214,144,2029,-1885,None
215,144,2037,-1893,None
216,154,2071,-1917,None
217,165,2029,-1864,None
218,141,2059,-1918,None
219,151,2013,-1862,None
220,160,2061,-1901,None
221,145,2079,-1934,None
222,140,2069,-1929,None
223,160,2005,-1845,None
224,139,2069,-1930,None
225,149,2063,-1914,None
226,151,2015,-1864,None
227,151,2005,-1854,None
228,156,2005,-1849,None
229,129,2077,-1948,None
230,176,2053,-1877,None
231,163,2071,-1908,None
232,152,2017,-1865,None
233,135,2031,-1896,None
234,140,2003,-1863,None
235,142,2047,-1905,None
236,139,2069,-1930,None
237,149,2083,-1934,None
238,139,2049,-1910,None
239,158,2059,-1901,None
240,153,2073,-1920,None
241,137,2039,-1902,None
242,142,2013,-1871,None
243,161,2025,-1864,None
244,158,2043,-1885,None
245,152,2043,-1891,None
246,147,2009,-1862,None
247,151,2023,-1872,None
248,150,2047,-1897,None
249,156,2015,-1859,None
250,149,2047,-1898,None
251,137,2011,-1874,None
252,133,2055,-1922,None
253,139,2065,-1926,None
254,166,2037,-1871,None
255,137,2073,-1936,None
256,148,2051,-1903,None
257,143,2045,-1902,None
258,139,2077,-1938,None
259,151,2089,-1938,None
260,140,2055,-1915,None
261,163,2041,-1878,None
262,125,2003,-1878,None
263,132,2073,-1941,None
264,161,2039,-1878,None
265,164,2029,-1865,None
266,146,2085,-1939,None
267,159,2029,-1870,None
268,160,2041,-1881,None
269,143,2001,-1858,None
270,156,2021,-1865,None
271,154,2029,-1875,None
272,136,2049,-1913,None
273,152,2077,-1925,None
274,141,2029,-1888,None
275,151,2045,-1894,None
276,146,2005,-1859,None
277,149,2071,-1922,None
278,126,2055,-1929,None
279,142,2009,-1867,None
280,154,2011,-1857,None
281,142,2035,-1893,None
282,138,2047,-1909,None
283,140,2059,-1919,None
284,156,2045,-1889,None
285,155,2059,-1904,None
286,143,2041,-1898,None
287,140,2033,-1893,None
288,141,1955,-1814,None
289,146,2027,-1881,None
290,148,2017,-1869,None
291,142,2043,-1901,None
292,143,2047,-1904,None
293,165,2027,-1862,None
294,139,2047,-1908,None
295,160,2075,-1915,None
296,153,2053,-1900,None
297,169,2059,-1890,None
298,150,2029,-1879,None
299,139,2063,-1924,None
300,153,2077,-1924,None
301,151,2019,-1868,None
302,149,2033,-1884,None
303,167,1993,-1826,None
304,148,2065,-1917,None
305,144,2061,-1917,None
306,166,2051,-1885,None
307,142,2027,-1885,None
308,167,2049,-1882,None
309,163,2061,-1898,None
310,161,2091,-1930,None
311,165,2017,-1852,None
312,161,2023,-1862,None
313,162,2037,-1875,None
314,149,2045,-1896,None
315,149,2099,-1950,None
316,150,2041,-1891,None
317,162,2077,-1915,None
318,150,2047,-1897,None
319,156,2025,-1869,None
320,128,1995,-1867,None
321,163,2035,-1872,None
322,148,2077,-1929,None
323,154,2061,-1907,None
324,174,2037,-1863,None
325,140,2039,-1899,None
326,153,2029,-1876,None
327,139,2079,-1940,None
328,152,2057,-1905,None
329,158,2075,-1917,None
330,154,2065,-1911,None
331,172,2077,-1905,None
332,148,2025,-1877,None
333,153,2025,-1872,None
334,164,1969,-1805,None
335,125,2051,-1926,None
336,146,2055,-1909,None
337,147,2059,-1912,None
338,152,2041,-1889,None
339,129,2063,-1934,None
340,158,2021,-1863,None
341,151,2043,-1892,None
342,149,2089,-1940,None
343,162,2049,-1887,None
344,166,1967,-1801,None
345,168,1973,-1805,None
346,148,2037,-1889,None
347,147,2029,-1882,None
348,158,2021,-1863,None
349,148,2035,-1887,None
350,148,2029,-1881,None
351,157,2033,-1876,None
352,149,1985,-1836,None
353,170,1991,-1821,None
354,167,2035,-1868,None
355,163,2045,-1882,None
356,163,2039,-1876,None
357,158,2007,-1849,None
358,161,2067,-1906,None
359,139,1995,-1856,None
360,153,2075,-1922,None
361,162,2021,-1859,None
362,163,2023,-1860,None
363,151,2035,-1884,None
364,142,2065,-1923,None
365,174,2061,-1887,None
366,136,2043,-1907,None
367,162,2075,-1913,None
368,142,2017,-1875,None
369,153,2003,-1850,None
370,182,2057,-1875,None
371,142,2071,-1929,None
372,176,2029,-1853,None
373,141,2003,-1862,None
374,141,2021,-1880,None
375,142,2047,-1905,None
376,137,2009,-1872,None
377,163,2049,-1886,None
378,150,2043,-1893,None
379,171,2037,-1866,None
380,165,2079,-1914,None
381,152,2055,-1903,None
382,152,2055,-1903,None
383,173,2007,-1834,None
384,151,1965,-1814,None
385,147,1985,-1838,None
386,172,2005,-1833,None
387,153,2039,-1886,None
388,149,1957,-1808,None
389,144,2043,-1899,None
390,129,2031,-1902,None
391,147,2047,-1900,None
392,170,2021,-1851,None
393,151,2075,-1924,None
394,141,2043,-1902,None
395,150,2023,-1873,None
396,164,2021,-1857,None
397,143,2047,-1904,None
398,147,2095,-1948,None
399,130,2043,-1913,None
400,160,2019,-1859,None
401,145,2067,-1922,None
402,173,2015,-1842,None
403,148,2027,-1879,None
404,160,1999,-1839,None
405,168,2037,-1869,None
406,155,2025,-1870,None
407,152,2021,-1869,None
408,142,2081,-1939,None
409,144,2051,-1907,None
410,161,2065,-1904,None
411,160,2009,-1849,None
412,168,1963,-1795,None
413,175,2003,-1828,None
414,140,2023,-1883,None
415,161,1989,-1828,None
416,159,2005,-1846,None
417,166,2017,-1851,None
418,149,2015,-1866,None
419,152,1977,-1825,None
420,149,2019,-1870,None
421,163,2027,-1864,None
422,149,2033,-1884,None
423,152,2019,-1867,None
424,164,2069,-1905,None
425,157,2017,-1860,None
426,152,2039,-1887,None
427,158,2007,-1849,None
428,153,2031,-1878,None
429,138,2035,-1897,None
430,147,2031,-1884,None
431,155,2003,-1848,None
432,149,2047,-1898,None
433,166,1969,-1803,None
434,130,2019,-1889,None
435,153,2031,-1878,None
436,152,2013,-1861,None
437,161,2035,-1874,None
438,136,2043,-1907,None
439,137,2057,-1920,None
440,163,2031,-1868,None
441,155,2055,-1900,None
442,154,2031,-1877,None
443,165,2049,-1884,None
444,139,2037,-1898,None
445,164,2055,-1891,None
446,159,2035,-1876,None
447,158,2039,-1881,None
448,151,2069,-1918,None
449,157,1991,-1834,None
450,154,2021,-1867,None
451,169,2087,-1918,None
452,158,2011,-1853,None
453,160,2019,-1859,None
454,166,2057,-1891,None
455,147,2039,-1892,None
456,146,2027,-1881,None
457,152,2053,-1901,None
458,147,2065,-1918,None
459,139,2053,-1914,None
460,171,2019,-1848,None
461,158,2077,-1919,None
462,167,2079,-1912,None
463,164,1999,-1835,None
464,150,1963,-1813,None
465,147,2025,-1878,None
466,165,2003,-1838,None
467,159,2049,-1890,None
468,164,2041,-1877,None
469,161,2043,-1882,None
470,154,2007,-1853,None
471,157,2071,-1914,None
472,150,2013,-1863,None
473,147,2081,-1934,None
474,158,2035,-1877,None
475,145,2027,-1882,None
476,134,2023,-1889,None
477,150,2049,-1899,None
478,145,2093,-1948,None
479,156,2025,-1869,None
480,147,2027,-1880,None
481,140,2041,-1901,None
482,145,2045,-1900,None
483,156,2013,-1857,None
484,156,2057,-1901,None
485,167,2011,-1844,None
486,150,2035,-1885,None
487,142,2059,-1917,None
488,165,2015,-1850,None
